,Unnamed: 0_x,Unnamed: 0.1,OBJECTID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,SOURCE_REPORTING_UNIT,FIRE_NAME,FIRE_YEAR,DATE_x,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE_x,LONGITUDE_x,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_NAME,Shape,merging,Unnamed: 0_y,STATION,STATION_NAME,ELEVATION,LATITUDE_y,LONGITUDE_y,DATE_y,DLY-GRDD-BASE40,DLY-GRDD-BASE45,DLY-GRDD-BASE50,DLY-GRDD-BASE55,DLY-GRDD-BASE57,DLY-GRDD-BASE60,DLY-GRDD-BASE65,DLY-GRDD-BASE70,DLY-GRDD-BASE72,DLY-GRDD-TB4886,DLY-GRDD-TB5086,DLY-CLDD-BASE45,DLY-CLDD-BASE50,DLY-CLDD-BASE55,DLY-CLDD-BASE57,DLY-CLDD-BASE60,DLY-CLDD-NORMAL,DLY-CLDD-BASE70,DLY-CLDD-BASE72,DLY-HTDD-BASE40,DLY-HTDD-BASE45,DLY-HTDD-BASE50,DLY-HTDD-BASE55,DLY-HTDD-BASE57,DLY-HTDD-BASE60,DLY-HTDD-NORMAL,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV,longLatOLS
3394,181645,1872560,1872561,NONFED,ST-CACDF,ST/C&L,USCATUU,CATUU,RMA #3 2,2010,2010-02-17 ,48,1402.0,13.0,Missing/Undefined,,,,0.01,A,36.305,-119.069,13.0,STATE OR PRIVATE,CA,,,"b""\x00\x01\xad\x10\x00\x00\xf0\x83\xf3\xa9c\xc4]\xc0\xc0il\xaf\x05'B@\xf0\x83\xf3\xa9c\xc4]\xc0\xc0il\xaf\x05'B@|\x01\x00\x00\x00\xf0\x83\xf3\xa9c\xc4]\xc0\xc0il\xaf\x05'B@\xfe""",3394,61002,GHCND:USC00044705,LAKE SABRINA CA US,2763,37.213,-118.6136,2010-02-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.08,-9999,-9999.0,0.14,-9999,-9999.0,0.36,-9999,-9999.0,1.55,-9999.0,3.99,-9999.0,353,239,63,18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
3395,181646,1872561,1872562,NONFED,ST-CACDF,ST/C&L,USCAHUU,CAHUU,BEAR,2010,2010-09-05 ,248,2220.0,9.0,Miscellaneous,2010-09-05,248.0,2328.0,0.11,A,40.11,-123.796,13.0,STATE OR PRIVATE,CA,,,b'\x00\x01\xad\x10\x00\x00\x88\xb2\xb7\x94\xf3\xf2^\xc0\x00\xc8Bt\x08\x0eD@\x88\xb2\xb7\x94\xf3\xf2^\xc0\x00\xc8Bt\x08\x0eD@|\x01\x00\x00\x00\x88\xb2\xb7\x94\xf3\xf2^\xc0\x00\xc8Bt\x08\x0eD@\xfe',3395,94052,GHCND:USC00040738,BIG BAR 4 E CA US,381.9,40.7402,-123.208,2010-09-05,31,26,21,16,14,11,6,2,1,20,18,26,21,16,14,11,6,2,1,0,0,0,0,-7777,-7777,1,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,0.08,0.0,20.88,1.1,67,36,7,3,0,0,0,0,0,0,0,0,0,70.6,41.4,91.2,49.9,5.3,8.4,8.5,4.4,
3396,181647,1872562,1872563,NONFED,ST-CACDF,ST/C&L,USCASKU,CASKU,BAILEY,2010,2010-08-10 ,222,1554.0,2.0,Equipment Use,2010-08-10,222.0,1642.0,4.0,B,41.943999999999996,-122.587,13.0,STATE OR PRIVATE,CA,,,b'\x00\x01\xad\x10\x00\x00\xe4j+\xf6\x97\xa5^\xc0po\xf0\x85\xc9\xf8D@\xe4j+\xf6\x97\xa5^\xc0po\xf0\x85\xc9\xf8D@|\x01\x00\x00\x00\xe4j+\xf6\x97\xa5^\xc0po\xf0\x85\xc9\xf8D@\xfe',3396,20661,GHCND:USW00024215,MOUNT SHASTA CA US,1077.5,41.3325,-122.33278,2010-08-10,28,23,18,13,11,8,4,1,-7777,19,18,23,18,13,11,8,4,1,-7777,0,0,0,-7777,-7777,-7777,1,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,0.1,0.0,27.09,59.1,57,23,7,2,0,0,0,0,0,0,0,0,0,67.8,37.6,86.6,49.0,4.8,6.2,6.5,4.8,
3397,181648,1872563,1872564,NONFED,ST-CACDF,ST/C&L,USCANEU,CANEU,TMU COMMAND,2010,2010-08-30 ,242,1611.0,13.0,Missing/Undefined,,,,0.25,A,39.248000000000005,-120.038,13.0,STATE OR PRIVATE,CA,,,"b'\x00\x01\xad\x10\x00\x00\xd8H\xd9""i\x02^\xc0(\xa3\x03\x92\xb0\x9fC@\xd8H\xd9""i\x02^\xc0(\xa3\x03\x92\xb0\x9fC@|\x01\x00\x00\x00\xd8H\xd9""i\x02^\xc0(\xa3\x03\x92\xb0\x9fC@\xfe'",3397,37106,GHCND:USC00041072,BRIDGEPORT CA US,1972.1,38.2575,-119.2286,2010-08-30,18,13,8,4,2,1,-7777,0,0,16,15,13,8,4,2,1,-7777,0,0,0,-7777,-7777,1,1,3,7,-6.66,-9999,-66.6,-6.66,-9999,-66.6,-6.66,-9999,-66.6,0.44,0.0,5.84,15.8,71,39,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,58.3,43.1,79.9,36.7,4.4,6.9,5.6,5.7,
3398,181649,1872564,1872565,NONFED,ST-CACDF,ST/C&L,USCAMVU,CAMVU,OLD CASTLE RD  VALLEY_C 2,2010,2010-03-23 ,82,1135.0,9.0,Miscellaneous,,,,1.0,B,33.256,-117.087,13.0,STATE OR PRIVATE,CA,,,b'\x00\x01\xad\x10\x00\x00lg_y\x90E]\xc0\xb8<\x0f\xee\xce\xa0@@lg_y\x90E]\xc0\xb8<\x0f\xee\xce\xa0@@|\x01\x00\x00\x00lg_y\x90E]\xc0\xb8<\x0f\xee\xce\xa0@@\xfe',3398,109946,GHCND:USC00043914,HENSHAW DAM CA US,823,33.2372,-116.7614,2010-03-23,10,5,2,-7777,-7777,-7777,0,0,0,9,8,5,2,-7777,-7777,-7777,0,0,0,-7777,1,3,6,8,11,16,0.08,-9999,-66.6,0.29,-9999,-66.6,0.75,-9999,-66.6,3.74,0.0,14.8,0.7,228,163,85,39,0,0,0,0,1,0,0,0,0,49.3,33.9,66.3,32.4,6.0,10.5,9.8,5.4,
3399,181650,1872565,1872566,NONFED,ST-CACDF,ST/C&L,USCANEU,CANEU,PEAR,2010,2010-10-22 ,295,1115.0,5.0,Debris Burning,2010-10-22,295.0,1206.0,1.0,B,39.192,-121.007,13.0,STATE OR PRIVATE,CA,,,b'\x00\x01\xad\x10\x00\x00\xa0g\xb3\xeas@^\xc0\xe0\xb90\xd2\x8b\x98C@\xa0g\xb3\xeas@^\xc0\xe0\xb90\xd2\x8b\x98C@|\x01\x00\x00\x00\xa0g\xb3\xeas@^\xc0\xe0\xb90\xd2\x8b\x98C@\xfe',3399,108699,GHCND:USC00049582,WEST POINT CA US,845.8,38.3775,-120.5452,2010-10-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.09,-666,-9999.0,0.27,-666,-9999.0,0.7,-666,-9999.0,1.42,0.0,27.7,4.9,159,117,52,31,-9999,-9999,-9999,-9999,0,0,0,0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
3400,181651,1872566,1872567,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,PRIEST,2010,2010-07-16 ,197,1118.0,9.0,Miscellaneous,,,,4.0,B,36.183,-120.7,13.0,STATE OR PRIVATE,CA,,,"b'\x00\x01\xad\x10\x00\x00\xfc\xd2\xa2>\xc9,^\xc0\xb8j\x10\xe6v\x17B@\xfc\xd2\xa2>\xc9,^\xc0\xb8j\x10\xe6v\x17B@|\x01\x00\x00\x00\xfc\xd2\xa2>\xc9,^\xc0\xb8j\x10\xe6v\x17B@\xfe'",3400,136706,GHCND:USC00045119,LOS BANOS ARBURUA RANCH CA US,262.1,36.88056,-120.94222,2010-07-16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,0.01,0.0,5.81,0.0,7,2,-9999,0,0,0,0,0,0,0,0,0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
3401,181652,1872567,1872568,NONFED,ST-CACDF,ST/C&L,USCAKRN,CAKRN,,2010,2010-08-21 ,233,1617.0,13.0,Missing/Undefined,,,,0.11,A,34.933,-118.21700000000001,13.0,STATE OR PRIVATE,CA,,,b'\x00\x01\xad\x10\x00\x00\xec\t\x12\xdb\xdd\x8d]\xc0\x90\xa3\xabtwwA@\xec\t\x12\xdb\xdd\x8d]\xc0\x90\xa3\xabtwwA@|\x01\x00\x00\x00\xec\t\x12\xdb\xdd\x8d]\xc0\x90\xa3\xabtwwA@\xfe',3401,95132,GHCND:USW00003179,CHINO AIRPORT CA US,198.1,33.97528,-117.63611000000002,2010-08-21,37,32,27,22,20,17,12,7,5,25,23,32,27,22,20,17,12,7,5,0,0,0,0,0,0,0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,0.07,-9999.0,9.69,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,77.1,34.8,94.5,59.7,4.4,6.5,6.5,4.0,
3402,181653,1872568,1872569,NONFED,ST-CACDF,ST/C&L,USCALNU,CALNU,HWY 175  / ADOBE CREEK RD,2010,2010-09-13 ,256,400.0,13.0,Missing/Undefined,,,,0.01,A,38.982,-122.97200000000001,13.0,STATE OR PRIVATE,CA,,,b'\x00\x01\xad\x10\x00\x00\xfc\\4d<\xbe^\xc0\x10\x92>\xad\xa2}C@\xfc\\4d<\xbe^\xc0\x10\x92>\xad\xa2}C@|\x01\x00\x00\x00\xfc\\4d<\xbe^\xc0\x10\x92>\xad\xa2}C@\xfe',3402,3540,GHCND:USW00023213,SANTA ROSA SONOMA CO AIRPORT CA US,34.7,38.5038,-122.8102,2010-09-13,27,22,17,12,10,7,3,1,-7777,18,16,22,17,12,10,7,3,1,-7777,0,0,0,-7777,-7777,-7777,1,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,0.09,-9999.0,22.27,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,66.8,34.0,83.8,49.8,4.7,9.7,8.8,3.8,
3403,181654,1872569,1872570,NONFED,ST-CACDF,ST/C&L,USCANEU,CANEU,CURRY,2010,2010-11-06 ,310,1326.0,5.0,Debris Burning,,,,1.0,B,38.961999999999996,-121.045,13.0,STATE OR PRIVATE,CA,,,b'\x00\x01\xad\x10\x00\x00\xc0r\x84\x0c\xe4B^\xc0\xe8\xa8\xdcD-{C@\xc0r\x84\x0c\xe4B^\xc0\xe8\xa8\xdcD-{C@|\x01\x00\x00\x00\xc0r\x84\x0c\xe4B^\xc0\xe8\xa8\xdcD-{C@\xfe',3403,39364,GHCND:USC00043134,FORESTHILL RANGER STATION CA US,919,39.01,-120.845,2010-11-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1,-9999,-9999.0,0.35,-9999,-9999.0,1.01,-9999,-9999.0,1.18,0.0,38.44,6.2,231,179,99,58,0,0,0,0,0,0,0,0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
